address,categoryName,cid,city,countryCode,imageUrl,language,locatedIn,location/lat,location/lng,neighborhood,phone,phoneUnformatted,plusCode,postalCode,rank,reviewsCount,scrapedAt,searchPageUrl,searchString,state,street,title,totalScore,url,website,emails,emails
"5350 Hollister Ave b, Santa Barbara, CA 93111","Dentist","189255250575838651","Santa Barbara","US","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXeG_Q0qghN_PRg7ZCxeJyWkq2b2T_wBi-UOQ4kM6K_daNixO_Wj--zJCyPR6jg6lRjVEIxPyWqXKp9KXFQljLi5eeH8FZ628M1sgDZyUnpXrHG2MR9U6p-Net2oksI9V8zDDD=w408-h240-k-no-pi-0-ya171.69711-ro0-fo100","en","","","","","(805) 683-0808","+18056830808","C5PQ+7H Santa Barbara, California","93111","1","123","2025-06-17T09:44:10.103Z","https://www.google.com/maps/search/denstists/@33.887312031396135,-120.48556123831078,12z?hl=en","denstists","California","5350 Hollister Ave b","Martin Family Dentistry","5","https://www.google.com/maps/search/?api=1&query=Martin%20Family%20Dentistry&query_place_id=ChIJ98RtR_U_6YARu01zzqVeoAI","http://www.smilesantabarbara.com/","[]","[]"
"19025 Wiley's Well Road, Blythe, CA 92225","Dentist","3769510319621675330","Blythe","US","","en","","","","","(760) 922-5300","+17609225300","H37R+4W Blythe, California","92225","18","0","2025-06-17T09:44:11.292Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","19025 Wiley's Well Road","Dr. Jennifer E. Jones, DDS","","https://www.google.com/maps/search/?api=1&query=Dr.%20Jennifer%20E.%20Jones%2C%20DDS&query_place_id=ChIJS7uMClff0IARQhk4-qn9TzQ","","[]","[]"
"1415 W Hobsonway, Blythe, CA 92225","Dental clinic","16587469483493623437","Blythe","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IvX0ib0NtloUdzASKH0Q4A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.44727&pitch=0&thumbfov=100","en","","","","","(760) 544-6996","+17605446996","J96P+QR Blythe, California","92225","27","0","2025-06-17T09:44:12.553Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","1415 W Hobsonway","Innercare - Blythe Dental","","https://www.google.com/maps/search/?api=1&query=Innercare%20-%20Blythe%20Dental&query_place_id=ChIJCyvzCgI50YARjQZFbpyHMuY","https://innercare.org/?page_id=3713","[""email@example.com""]","[""email@example.com""]"
"115 E Hobsonway, Blythe, CA 92225","Dental hygienist","16241660738801803243","Blythe","US","https://lh3.googleusercontent.com/p/AF1QipO9zBza93meJtuUgNqt1cuDGa0QNU3d7zR5sEN0=w408-h242-k-no","en","","","","","(760) 922-5320","+17609225320","JC63+7F Blythe, California","92225","25","5","2025-06-17T09:44:12.947Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","115 E Hobsonway","Pristine Dental Hygiene","5","https://www.google.com/maps/search/?api=1&query=Pristine%20Dental%20Hygiene&query_place_id=ChIJ-YLtsbk50YAR65-w0mP4ZeE","https://www.pristinedentalhygiene.com/","[""info@pristinedentalhygiene.com""]","[""info@pristinedentalhygiene.com""]"
"500 N Broadway UNIT 17, Blythe, CA 92225","Dentist","8147205559460867749","Blythe","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iqeX5dZKKeG6Iy3qR5Bp-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.7624&pitch=0&thumbfov=100","en","","","","","(714) 801-8207","+17148018207","JC93+5C Blythe, California","92225","15","0","2025-06-17T09:44:14.129Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","500 N Broadway UNIT 17","Dr. Epifania V. Nicolas, DDS","","https://www.google.com/maps/search/?api=1&query=Dr.%20Epifania%20V.%20Nicolas%2C%20DDS&query_place_id=ChIJqU41hUo50YARpa7AY0qwEHE","","[]","[]"
"286 E Hobsonway, Blythe, CA 92225","Dentist","13956904711699370368","Blythe","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v-4fCoLFdYjhNTXv40p13w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.69666&pitch=0&thumbfov=100","en","","","","","(760) 922-7166","+17609227166","JC64+47 Blythe, California","92225","16","0","2025-06-17T09:44:14.225Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","286 E Hobsonway","Fernandez Ariel DDS","","https://www.google.com/maps/search/?api=1&query=Fernandez%20Ariel%20DDS&query_place_id=ChIJn_T98Dc50YARgBHRcOPisME","","[]","[]"
"286 E Hobsonway, Blythe, CA 92225","Dentist","4954317442550296200","Blythe","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dVM4NWgqCbONF8M2k9CqpQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.34554&pitch=0&thumbfov=100","en","","","","","(760) 922-7166","+17609227166","JC64+37 Blythe, California","92225","14","0","2025-06-17T09:44:15.154Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","286 E Hobsonway","Weidler Sandra DDS","","https://www.google.com/maps/search/?api=1&query=Weidler%20Sandra%20DDS&query_place_id=ChIJzfrC8zc50YARiG67A3dFwUQ","","[]","[]"
"19005 Wiley's Well Road, Blythe, CA 92225","Dentist","11084029578749445784","Blythe","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Po1sIvGSkmB2srE4EUkJLg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.13446&pitch=0&thumbfov=100","en","","","","","(760) 921-3000","+17609213000","J34X+M6 Blythe, California","92225","13","0","2025-06-17T09:44:15.372Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","19005 Wiley's Well Road","Calhoun Michael W DDS","","https://www.google.com/maps/search/?api=1&query=Calhoun%20Michael%20W%20DDS&query_place_id=ChIJE5BSMXgg0YARmIZIGS1i0pk","http://www.cdcr.ca.gov/","[]","[]"
"19025 Wiley's Well Road, Blythe, CA 92225","Dentist","6588905402651345571","Blythe","US","","en","","","","","(760) 922-5300","+17609225300","H37V+53 Blythe, California","92225","11","0","2025-06-17T09:44:16.443Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","19025 Wiley's Well Road","Liao Tai N DDS","","https://www.google.com/maps/search/?api=1&query=Liao%20Tai%20N%20DDS&query_place_id=ChIJS7uMClff0IARo4Kv341-cFs","","[]","[]"
"19025 Wiley's Well Road, Blythe, CA 92225","Dentist","16542733788372952669","Blythe","US","","en","","","","","(760) 922-5300","+17609225300","H37V+53 Blythe, California","92225","10","0","2025-06-17T09:44:17.281Z","https://www.google.com/maps/search/denstists/@33.59195495608727,-114.4579584350027,10z?hl=en","denstists","California","19025 Wiley's Well Road","White Michael DDS","","https://www.google.com/maps/search/?api=1&query=White%20Michael%20DDS&query_place_id=ChIJS7uMClff0IARXWbSvbuYk-U","","[]","[]"
