address,categoryName,cid,city,countryCode,imageUrl,language,locatedIn,location/lat,location/lng,neighborhood,phone,phoneUnformatted,plusCode,postalCode,rank,reviewsCount,scrapedAt,searchPageUrl,searchString,state,street,title,totalScore,url,website,emails,emails
"7140 66th St, Glendale, NY 11385","Dentist","16300038094994519109","Glendale","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yuA8M6teHRGz-ocEzWoymw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.25621&pitch=0&thumbfov=100","en","","40.7016055","-73.8885959","Glendale","(718) 386-2312","+17183862312","P426+JH Glendale, Queens, NY","11385","200","18","2025-06-15T12:35:35.457Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","New York","7140 66th St","Pandrea Mark DDS","4.1","https://www.google.com/maps/search/?api=1&query=Pandrea%20Mark%20DDS&query_place_id=ChIJgy82UtVdwokRRbR7PUleNeI","","[]","[]"
"1239 Fulton St Suite A, Brooklyn, NY 11216","Pediatric dentist","15485164781816853388","Brooklyn","US","https://lh3.googleusercontent.com/p/AF1QipMFuco84HeWraE-6mVthsHBdPA-fzvLITlJyVNf=w408-h293-k-no","en","","40.6807542","-73.9519137","Bedford-Stuyvesant","(929) 249-4391","+19292494391","M2JX+86 Brooklyn, New York","11216","220","3","2025-06-15T12:35:36.198Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","New York","1239 Fulton St Suite A","KidCo Pediatric Dentists","3.7","https://www.google.com/maps/search/?api=1&query=KidCo%20Pediatric%20Dentists&query_place_id=ChIJbySRFUxbwokRjDOVPFNb5tY","https://kidcodent.dental/","[]","[]"
"","Emergency dental service","15762897804131244218","","","https://lh3.googleusercontent.com/p/AF1QipPLdLwTUkCkXtKM0ohkvmZ4sY7LloEm6mqueWh9=w408-h271-k-no","en","","40.6971415","-73.979506","","(844) 851-8301","+18448518301","","","238","5","2025-06-15T12:35:37.134Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","","","Emergency Dental Repair 🚨 - 24 Hr. Emergency Dentist & Center | Emergencia Dentista","1.8","https://www.google.com/maps/search/?api=1&query=Emergency%20Dental%20Repair%20%F0%9F%9A%A8%20-%2024%20Hr.%20Emergency%20Dentist%20%26%20Center%20%7C%20Emergencia%20Dentista&query_place_id=ChIJCbPQn3RbwokRuhgHlgkQwdo","https://www.emergencydentalrepair.com/","[""emergencydentalrepair@gmail.com""]","[""emergencydentalrepair@gmail.com""]"
"","Dentist","8632992605784672534","","","https://lh3.googleusercontent.com/p/AF1QipPUA3ydv-IzFD3tIjdk7nvR1kSMDgAtIM_n9KE3=w408-h301-k-no","en","","40.6452314","-73.9448356","","(347) 527-9843","+13475279843","","","237","75","2025-06-15T12:35:37.572Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","","","Same Day Dentist Brooklyn","5","https://www.google.com/maps/search/?api=1&query=Same%20Day%20Dentist%20Brooklyn&query_place_id=ChIJP_N24g6fuGcRFoleEAmNznc","https://dentalofficebrooklyn.com/periodontics/tooth-extraction/","[]","[]"
"770 Fulton St # 1, Brooklyn, NY 11238","Dentist","5338054471945877160","Brooklyn","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qKAtjKT2MN8zXCivwdyS9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=195.44965&pitch=0&thumbfov=100","en","","40.6844628","-73.9705452","Fort Greene","(718) 638-0600","+17186380600","M2MH+QQ Brooklyn, New York","11238","236","0","2025-06-15T12:35:37.917Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","New York","770 Fulton St # 1","Tiu Monica F DDS","","https://www.google.com/maps/search/?api=1&query=Tiu%20Monica%20F%20DDS&query_place_id=ChIJwxaCpbpbwokRqPYEkEKUFEo","","[]","[]"
"79-11 41st Ave, Elmhurst, NY 11373","Pediatric dentist","10847866547799949151","Elmhurst","US","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEzUDTh5lBwYKC4G8ilLpukG1MI_i32XrI9G7eIwMxwTfY94vCLkabmEn0VWQdhpgHDxD6nmi4trAiPNbYN0-QSiBs5vj1-mbHVCch2gMxHKELVE_ODz6Y0uUxHJ67R35FnZzw=w426-h240-k-no","en","King Edward","40.7458697","-73.8859113","Elmhurst","(718) 205-2888","+17182052888","P4W7+8J Elmhurst, Queens, NY","11373","235","4","2025-06-15T12:35:38.368Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","New York","79-11 41st Ave","Children's Dentist","3","https://www.google.com/maps/search/?api=1&query=Children's%20Dentist&query_place_id=ChIJucIMgKlfwokRX391mCZdi5Y","","[]","[]"
"1323 Greene Ave, Brooklyn, NY 11237","Dentist","6747959853653868888","Brooklyn","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XIffKFt2oCGKztwPK3IDZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.70496&pitch=0&thumbfov=100","en","","40.6992319","-73.9185785","Bushwick","","","M3XJ+MH Brooklyn, New York","11237","239","6","2025-06-15T12:35:38.733Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","New York","1323 Greene Ave","Fattakhov Ezro DDS","4.2","https://www.google.com/maps/search/?api=1&query=Fattakhov%20Ezro%20DDS&query_place_id=ChIJ8Rw_1BtcwokRWMGiE7yRpV0","","[]","[]"
"650 Fulton St, Brooklyn, NY 11217","Dentist","18108495263562025868","Brooklyn","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mxjoIGMaY5cUkaQZoVs0pw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=205.69933&pitch=0&thumbfov=100","en","","40.6867611","-73.9761486","Fort Greene","(718) 596-9800","+17185969800","M2PF+PG Brooklyn, New York","11217","233","0","2025-06-15T12:35:39.140Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","New York","650 Fulton St","Dr. Muriel L. Mckoy, DDS","","https://www.google.com/maps/search/?api=1&query=Dr.%20Muriel%20L.%20Mckoy%2C%20DDS&query_place_id=ChIJ00_1mbFbwokRjEt10X9MTvs","http://www.brooklynplaza.org/","[""info@brooklynplaza.org""]","[""info@brooklynplaza.org""]"
"130 E 18th St #1m, New York, NY 10003","Prosthodontist","10548244413037705699","New York","US","https://lh3.googleusercontent.com/p/AF1QipOrHJNdzBv4Q8Z7brzXX6Sona9nDDzT_6U86_CR=w408-h612-k-no","en","","40.7361064","-73.9865382","Manhattan","(212) 254-5454","+12122545454","P2P7+C9 New York","10003","231","8","2025-06-15T12:35:39.921Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","New York","130 E 18th St #1m","Michael Cafarella, DMD","3.5","https://www.google.com/maps/search/?api=1&query=Michael%20Cafarella%2C%20DMD&query_place_id=ChIJWfZX16FZwokR43kcG2jkYpI","https://www.iadentistry.com/","[""email@email.com""]","[""email@email.com""]"
"325 Broadway Lobby Suite, New York, NY 10007","Pediatric dentist","14544664131040936994","New York","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gMLmvjgi7MJp_2H02dXYyg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=314.9679&pitch=0&thumbfov=100","en","","40.7160598","-74.0049386","Manhattan","(212) 962-7565","+12129627565","PX8W+C2 New York","10007","232","5","2025-06-15T12:35:40.096Z","https://www.google.com/maps/search/denstists/@40.697103999999996,-73.97953799999999,13z?hl=en","denstists","New York","325 Broadway Lobby Suite","Pediatric Dentist in TriBeCa: Dr. Monte Miller","4.2","https://www.google.com/maps/search/?api=1&query=Pediatric%20Dentist%20in%20TriBeCa%3A%20Dr.%20Monte%20Miller&query_place_id=ChIJ34MeypZbwokRIoQPXPcG2ck","http://www.thetribecadentist.com/","[""info@tribecasmile.com"",""962-7565info@tribecasmile.com"",""10007info@tribecasmile.com""]","[""info@tribecasmile.com"",""962-7565info@tribecasmile.com"",""10007info@tribecasmile.com""]"
