address,categoryName,cid,city,countryCode,imageUrl,language,locatedIn,location/lat,location/lng,neighborhood,phone,phoneUnformatted,plusCode,postalCode,rank,reviewsCount,scrapedAt,searchPageUrl,searchString,state,street,title,totalScore,url,website,emails,emails
"306 Penny Ln, Morehead City, NC 28557","Dentist","13375844124054149613","Morehead City","US","https://lh3.googleusercontent.com/p/AF1QipPrJXrASMz39-zNPgv2sY-AnPfdUNZwk_jI8o3S=w408-h544-k-no","en","","","","","(252) 247-6704","+12522476704","P6HV+GC Morehead City, North Carolina","28557","20","541","2025-06-17T12:18:45.749Z","https://www.google.com/maps/search/denstists/@34.72895551246526,-76.6736345625883,10z?hl=en","denstists","North Carolina","306 Penny Ln","Sound Dental Associates","4.7","https://www.google.com/maps/search/?api=1&query=Sound%20Dental%20Associates&query_place_id=ChIJD1ZRXLSTqIkR7Vk-0VyLoLk","https://www.sounddentalnc.com/?utm_source=google&utm_medium=gbp&utm_campaign=google_business","[""info@sounddentalnc.com"",""252.247.6704info@sounddentalnc.com""]","[""info@sounddentalnc.com"",""252.247.6704info@sounddentalnc.com""]"
"11001 Raven Ridge Rd Suite 101, Raleigh, NC 27614, United States","Dentist","3507258272359166442","Raleigh","US","https://lh3.googleusercontent.com/p/AF1QipNFe8FWfkCb2CEFqOOtv5uXsFAK4gZRq87PZKae=w426-h240-k-no","en","","","","North Raleigh","+1 984-266-3472","+19842663472","WC55+HC Raleigh, North Carolina, USA","27614","59","674","2025-06-17T12:18:47.624Z","https://www.google.com/maps/search/denstists/@35.61207948753474,-77.7361262583922,10z?hl=en","denstists","North Carolina","11001 Raven Ridge Rd Suite 101","Adams and Cheek Dentistry","4.9","https://www.google.com/maps/search/?api=1&query=Adams%20and%20Cheek%20Dentistry&query_place_id=ChIJQ1DpKmpXrIkR6rGEA9FIrDA","https://raleighncdentistry.com/","[""lena@raleighncdentistry.com"",""info@raleighncdentistry.com""]","[""lena@raleighncdentistry.com"",""info@raleighncdentistry.com""]"
"100 Pinecroft Dr, Clayton, NC 27520","Dentist","3563777009211371921","Clayton","US","https://lh3.googleusercontent.com/p/AF1QipMk0CnH5V4UCh83p-9cZqNCCnQJiT0j1XatGP2g=w408-h306-k-no","en","","","","","(919) 585-7321","+19195857321","JGP6+G7 Clayton, North Carolina","27520","80","454","2025-06-17T12:18:49.222Z","https://www.google.com/maps/search/denstists/@35.61207948753474,-77.7361262583922,10z?hl=en","denstists","North Carolina","100 Pinecroft Dr","Southern Living Family Dentistry","4.9","https://www.google.com/maps/search/?api=1&query=Southern%20Living%20Family%20Dentistry&query_place_id=ChIJkXjFUhBmrIkRkXG_5E4UdTE","http://www.southernlivingfamilydentistry.com/","[""matthewjgrabowskidds@gmail.com"",""585-7321contact@slfamilydentistry.com""]","[""matthewjgrabowskidds@gmail.com"",""585-7321contact@slfamilydentistry.com""]"
"2818 Neuse Blvd, New Bern, NC 28562","Dentist","628025227427837659","New Bern","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fVX0MtNyijVsJCEcD3ylfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.57437&pitch=0&thumbfov=100","en","Craven County Environmental Health","","","","(252) 670-8608","+12526708608","4WF9+85 New Bern, North Carolina","28562","140","4","2025-06-17T12:18:52.390Z","https://www.google.com/maps/search/denstists/@34.72895551246526,-76.6736345625883,10z?hl=en","denstists","North Carolina","2818 Neuse Blvd","Smile Mobile 2","4","https://www.google.com/maps/search/?api=1&query=Smile%20Mobile%202&query_place_id=ChIJfcBK1FzRqIkR2_bR7p0xtwg","https://www.cravencountync.gov/316/Dental-Health","[""health@cravencounty.com""]","[""health@cravencounty.com""]"
"4003 Dr. M.L.K. Jr Blvd, New Bern, NC 28562","Dentist","12112141721382302764","New Bern","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=irPDhGoEYsyDo77Rjufm-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=205.4254&pitch=0&thumbfov=100","en","","","","","(252) 636-1777","+12526361777","3VVM+Q7 New Bern, North Carolina","28562","100","194","2025-06-17T12:18:53.426Z","https://www.google.com/maps/search/denstists/@34.72895551246526,-76.6736345625883,10z?hl=en","denstists","North Carolina","4003 Dr. M.L.K. Jr Blvd","Bob Nyberg Pa","4.9","https://www.google.com/maps/search/?api=1&query=Bob%20Nyberg%20Pa&query_place_id=ChIJ_6gwftjWqIkRLDQuBLn4Fqg","https://www.nybergdentistry.com/","[]","[]"
"405 N 35th St, Morehead City, NC 28557, United States","Dentist","18375404307992545526","Morehead City","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6f_fC8Nb5S-0uJI5ngB-rA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=282.9569&pitch=0&thumbfov=100","en","","","","","+1 252-247-2169","+12522472169","P6HW+Q9 Morehead City, North Carolina, USA","28557","139","2","2025-06-17T12:18:54.085Z","https://www.google.com/maps/search/denstists/@34.72895551246526,-76.6736345625883,10z?hl=en","denstists","North Carolina","405 N 35th St","CLIFF R. SCHWEITZER, DDS","5","https://www.google.com/maps/search/?api=1&query=CLIFF%20R.%20SCHWEITZER%2C%20DDS&query_place_id=ChIJNXV7gOqTqIkR9ggUbtyMAv8","http://www.coastaldentistry.com/","[]","[]"
"2808 Village Way, Trent Woods, NC 28562","Dental implants periodontist","1264072651500069044","Trent Woods","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=krNsEbb8pyVEy9Z5W1uIAw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=272.9962&pitch=0&thumbfov=100","en","","","","","(252) 633-1631","+12526331631","3WPH+8R Trent Woods, North Carolina","28562","160","4","2025-06-17T12:18:54.547Z","https://www.google.com/maps/search/denstists/@34.72895551246526,-76.6736345625883,10z?hl=en","denstists","North Carolina","2808 Village Way","Dr. Patrick McDonough","5","https://www.google.com/maps/search/?api=1&query=Dr.%20Patrick%20McDonough&query_place_id=ChIJn6A3D-PQqIkRtKDyEmHjihE","http://www.carolinaimplantcenter.com/","[]","[]"
"409 N 35th St, Morehead City, NC 28557, United States","Dentist","10165985095307751673","Morehead City","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XAEo52oDWg4RJnYhmxHA9g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=253.50784&pitch=0&thumbfov=100","en","","","","","+1 252-247-0500","+12522470500","P6HW+X6 Morehead City, North Carolina, USA","28557","159","0","2025-06-17T12:18:55.712Z","https://www.google.com/maps/search/denstists/@34.72895551246526,-76.6736345625883,10z?hl=en","denstists","North Carolina","409 N 35th St","Dr. Paul Getty","","https://www.google.com/maps/search/?api=1&query=Dr.%20Paul%20Getty&query_place_id=ChIJAQCUhOqTqIkR-fC7HZXVFI0","","[]","[]"
"23 NC-98 #200, Bunn, NC 27508","Dentist","4177533170462533827","Bunn","US","https://lh3.googleusercontent.com/p/AF1QipMuRUB1Jer2Kjl5hQMx7CDBqtKpuidxpWCP95gr=w424-h240-k-no","en","","","","","(919) 299-5116","+19192995116","XQ34+F7 Bunn, North Carolina","27508","140","104","2025-06-17T12:18:56.416Z","https://www.google.com/maps/search/denstists/@35.61207948753474,-77.7361262583922,10z?hl=en","denstists","North Carolina","23 NC-98 #200","Cedar Springs Dental","4.8","https://www.google.com/maps/search/?api=1&query=Cedar%20Springs%20Dental&query_place_id=ChIJ65hFUl81rIkRw6jU9kiU-Tk","https://www.cspringsdental.com/","[]","[]"
"98 Stonebridge Trail, Havelock, NC 28532","Dentist","15157925813696925631","Havelock","US","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NC6T7teP7wBE5g21DeUOMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.38507&pitch=0&thumbfov=100","en","","","","","","","V3WF+MC Havelock, North Carolina","28532","180","0","2025-06-17T12:18:57.794Z","https://www.google.com/maps/search/denstists/@34.72895551246526,-76.6736345625883,10z?hl=en","denstists","North Carolina","98 Stonebridge Trail","Eastern Carolina Oral & Mxlfcl","","https://www.google.com/maps/search/?api=1&query=Eastern%20Carolina%20Oral%20%26%20Mxlfcl&query_place_id=ChIJUSV3sy3CqIkRvw8hqTfFW9I","","[]","[]"
